n_txns,n_deposit,n_borrow,n_repay,n_redeem,n_liquidation,total_deposit_amount,total_borrow_amount,total_repay_amount,avg_txn_amount,active_days,asset_diversity,borrow_to_repay_ratio,rule_score
2,2,0,0,0,0,25.000000000025,0.0,0.0,12.5000000000125,1,2,0.0,566.45
1,1,0,0,0,0,0.00602093600927749,0.0,0.0,0.00602093600927749,1,1,0.0,562.37
1,1,0,0,0,0,5.3784266e-11,0.0,0.0,5.3784266e-11,1,1,0.0,562.36
6,2,1,2,1,0,3991.9999233199997,1.25e-09,1.250374694e-09,665.3333205539584,3,2,0.0012488136769038703,576.62
1,0,0,0,1,0,0.0,0.0,0.0,1.714364206e-09,1,1,0.0,562.36
61,11,19,19,12,0,5.968301103307497,0.0036944677444562066,0.000755442765044057,0.1794543277598304,7,6,0.20442412633078508,605.34
4,2,0,0,2,0,4.414467304508297,0.0,0.0,2.207241740315049,1,1,0.0,564.48
17,6,2,3,6,0,26750.00000002099,12000.0,4877.378787478327,3483.0796954614425,7,5,0.40644823225598986,610.57
4,1,1,1,1,0,4999.0,1.2,1.2,2500.1,1,2,0.9999991666673612,629.89
2,2,0,0,0,0,1.180196e-12,0.0,0.0,5.90098e-13,2,1,0.0,563.15
2,2,0,0,0,0,1.055527e-12,0.0,0.0,5.277635e-13,2,1,0.0,563.15
4,3,0,0,1,0,6.678616260000001e-10,0.0,0.0,3.350803815e-10,4,2,0.0,564.71
45,20,3,19,3,0,296.3320523491727,450.00000000425,4.04232168e-10,16.585156719200736,25,4,8.982937046619746e-13,609.17
1,1,0,0,0,0,1.094705e-12,0.0,0.0,1.094705e-12,1,1,0.0,562.36
14,4,4,2,4,0,1769.5432439752817,311.6364520103731,311.80899732487563,297.3830756608234,6,2,1.0005536717955674,633.62
1,0,0,0,1,0,0.0,0.0,0.0,8.71333919e-10,1,1,0.0,562.36
1,1,0,0,0,0,1.2192e-14,0.0,0.0,1.2192e-14,1,1,0.0,562.36
7,1,0,0,6,0,1e-10,0.0,0.0,10.347928446200841,3,3,0.0,563.93
3,3,0,0,0,0,1.265163e-12,0.0,0.0,4.2172099999999997e-13,3,1,0.0,563.93
2,2,0,0,0,0,279.299381098,0.0,0.0,139.649690549,2,1,0.0,570.21
15,9,3,0,3,0,839.6237103643914,324.6578475605661,0.0,77.71216164590781,9,4,0.0,577.07
32,11,11,7,3,0,987.0478730571087,1.338374591e-09,1.338548128e-09,30.845246033135805,7,3,0.0013367590436616737,583.51
1,1,0,0,0,0,9.8e-17,0.0,0.0,9.8e-17,1,1,0.0,562.36
30,18,4,1,7,0,137.81505886682973,7.000000000000001e-09,7.008281014e-09,5.172953092758162,10,7,0.006959564065541211,577.25
7,3,1,1,2,0,1.0080883915487415,5.3e-11,5.3052717e-11,0.14401262752286273,3,3,5.304990535501618e-05,565.91
2,1,1,0,0,0,0.1,0.01,0.0,0.055,1,1,0.0,562.48
1,1,0,0,0,0,1.289,0.0,0.0,1.289,1,1,0.0,563.4
13,3,3,3,4,0,1098.3212493357703,821.7220754292939,821.7236657599777,295.39155204829234,1,1,1.0000019341462636,630.19
4,1,1,1,1,0,20001.000000000004,2.1e-09,2.1e-09,10000.500000001053,1,2,0.0020955992415926557,576.05
245,88,25,25,107,0,1324.0101243931094,847.0070579208411,775.1630572897558,25.349346902939466,65,8,0.9151789812441224,701.21
3,0,0,0,3,0,0.0,0.0,0.0,62.27469989673424,1,3,0.0,562.36
16,4,3,4,5,0,2.3448301799999997e-10,1.54774261e-10,1.54779404e-10,4.8657725187500004e-11,2,1,0.00015475545183930587,567.56
1,1,0,0,0,0,9.1194297883843e-05,0.0,0.0,9.1194297883843e-05,1,1,0.0,562.36
2,2,0,0,0,0,2.136341e-12,0.0,0.0,1.0681705e-12,2,1,0.0,563.15
48,24,11,5,8,0,442.4397909639365,310.4000000087,311.35112161626637,31.399021329193587,11,5,1.0030641772051403,639.2
1,1,0,0,0,0,1.1858e-14,0.0,0.0,1.1858e-14,1,1,0.0,562.36
3,3,0,0,0,0,0.009010433301105339,0.0,0.0,0.003003477767035113,3,1,0.0,563.94
1,1,0,0,0,0,1.82301563e-10,0.0,0.0,1.82301563e-10,1,1,0.0,562.36
